state,county,fips,county_pop_2019_est,county_center_lat,county_center_lon,center_point,county_geom
Alabama,Autauga,1001,55869.0,32.53942589757445,-86.64129633660016,POINT (-86.64129633660016 32.53942589757445),"POLYGON ((-86.82066986329349 32.34730960076057, -86.81445959504612 32.37041088688972, -86.84571089987521 32.41034610284918, -86.83142085920537 32.43143708142404, -86.86392317978276 32.4508801735045, -86.86461761293137 32.4627474428581, -86.88191415283384 32.48229352136895, -86.88183805269991 32.50097369536066, -86.90671082976155 32.5389137823494, -86.90197314313913 32.58391848980385, -86.91238041924936 32.66571509951702, -86.71134013187758 32.66460110545303, -86.71137095528104 32.71016275813545, -86.41370950344735 32.70885408449126, -86.40603173037088 32.41605340567769, -86.42598302007819 32.40565478084205, -86.45401428942414 32.41142999876626, -86.46377225370409 32.38342701442584, -86.48581409542277 32.37489753113703, -86.4981356862022 32.35060993250484, -86.53577256414813 32.34567373280331, -86.53770304167764 32.36669601922188, -86.56974756995857 32.38120285979677, -86.58547206448036 32.3670239387915, -86.61225972605564 32.37682738701807, -86.61709718725801 32.40840469466734, -86.64737151970742 32.41236034751046, -86.6580832481574 32.38619210683468, -86.69205773592743 32.36196926325178, -86.7222634280246 32.3677292507884, -86.72522408068231 32.40745844208303, -86.75066105553742 32.39440475661831, -86.78135505251029 32.40198441284409, -86.79096806908791 32.37486251160637, -86.77421329582985 32.35668587287796, -86.77867642104327 32.33718942263689, -86.79923045074939 32.3230944241755, -86.81659542378794 32.32305246290356, -86.82066986329349 32.34730960076057))"
Alabama,Baldwin,1003,223234.0,30.743119806021806,-87.72479592163093,POINT (-87.72479592163093 30.74311980602181),"POLYGON ((-87.97308978075395 31.16482251520438, -87.93710110012667 31.17345684986901, -87.94147305023068 31.19635371725855, -87.91532636003532 31.19324304010264, -87.87199813490503 31.22001940839733, -87.85132184766584 31.2105822665336, -87.84643128732304 31.21416228828678, -87.86255280800306 31.23723451234981, -87.85016242145926 31.2411616211672, -87.83266006410813 31.23359362085029, -87.8348956674299 31.25509053587816, -87.85180295178006 31.26584562430914, -87.8296848027113 31.27419006356909, -87.82033862874081 31.28592367850095, -87.80168420135669 31.28153126580136, -87.78390728259656 31.28673814160893, -87.79109447141958 31.30146038337979, -87.80910036403402 31.31132294001536, -87.80608676764801 31.32725636022819, -87.76912883344292 31.3015767870564, -87.76356694455311 31.31107883938154, -87.71759096316329 31.30715753261657, -87.68007608373023 31.28417684629122, -87.66242862326465 31.25922973043299, -87.61234017820435 31.24925859253077, -87.61529699736313 31.00675999863612, -87.59858024827001 31.00263075045686, -87.58986722326949 30.95436104161302, -87.62571157784291 30.87690198412167, -87.61591517496569 30.84829641519456, -87.54190015362403 30.78569532605739, -87.52660288701544 30.74849168529326, -87.46014048019097 30.70580261840151, -87.41889425940555 30.6928101653114, -87.39864494105937 30.66801535332911, -87.39328094360019 30.62009827458169, -87.42206736042897 30.55649358578857, -87.44535296533043 30.53138971090701, -87.41881665695448 30.48170077859883, -87.40525083675591 30.44036006724547, -87.46644036942656 30.35972143322578, -87.58756836721555 30.31925434519344, -87.59340481751438 30.27841535596201, -87.79533064313624 30.23393164173214, -88.00256052894366 30.23360429200695, -87.77994168337787 30.27263827309238, -87.75750297091308 30.29942225658087, -87.90346577340281 30.42129607712559, -87.91338515906963 30.62118439807247, -88.01978884292619 30.74419003327075, -88.02044514830179 30.79630676188702, -87.97359171009204 30.82537582155496, -87.95706601429636 30.82651830784064, -87.95047405388642 30.8369378615082, -87.95812654659166 30.85486827563719, -87.9911856569849 30.8818296361567, -87.9904303022859 30.89369871865168, -87.92969882093192 30.94814440146879, -87.96545878672509 30.97468993096376, -87.95880616378498 31.04404056839882, -87.94692697950232 31.05118336116005, -87.94177713994216 31.06938258644966, -87.95609028521361 31.0746084743397, -87.96903026081178 31.09671185925723, -87.94347895444162 31.11965265647221, -87.94698867811329 31.13203273401216, -87.93707032852726 31.14742449118867, -87.94279260272316 31.1557248970151, -87.97308978075395 31.16482251520438))"
Alabama,Barbour,1005,24686.0,31.87734308059179,-85.39237810741868,POINT (-85.39237810741868 31.87734308059179),"POLYGON ((-85.74337279655801 31.62624052460075, -85.71720481490243 31.67923714482681, -85.70074164658234 31.74305397116142, -85.66542517517075 31.78293961065514, -85.67249083171727 31.83841111706113, -85.6634198926083 31.88146244960065, -85.58121304670685 32.00641151333831, -85.5116086212826 32.00350929563708, -85.51056363019914 32.02446646437809, -85.47068363734572 32.02167448567278, -85.47078294568931 32.03034881305584, -85.45719459073358 32.0316877920631, -85.45385271214968 32.02289908136096, -85.4262258769396 32.02372706532324, -85.42704391452631 32.14604070216276, -85.41136500755921 32.14547246365421, -85.41139567555057 32.15551234551676, -85.25823107549868 32.15259531186026, -85.22933721709212 32.12549299254945, -85.22058580529837 32.10690850061857, -85.19086044025485 32.08569956424591, -85.18629769587359 32.07000641116798, -85.12622195005078 32.06997206508984, -85.12631359139652 32.07818865198046, -85.056654927143 32.06964393830405, -85.06201073956395 32.05001031096656, -85.0567002556775 32.01737651173708, -85.07006709656061 31.98070308531655, -85.11515023533077 31.90742476921967, -85.13556693252835 31.85488443897295, -85.13156113337506 31.78381458088119, -85.16314015055762 31.77788488331139, -85.20625509845756 31.74803767516711, -85.21296895377228 31.71313403014578, -85.41642693566445 31.71708030645776, -85.41676930856107 31.62530784467478, -85.74337279655801 31.62624052460075))"
Alabama,Bibb,1007,22394.0,33.00020707010519,-87.12752218892099,POINT (-87.12752218892099 33.00020707010519),"POLYGON ((-87.41985563876936 33.01177307648309, -87.31532280599293 33.0120969035336, -87.31414032698881 33.09448076383779, -87.27891456445028 33.13932503418212, -87.19018253354572 33.13711222463769, -87.18394159730701 33.20025901752626, -87.15310285984796 33.22284889417811, -87.15475084995045 33.24109028795581, -87.11362740473848 33.2397817179197, -87.11062898693602 33.23016129336445, -87.09527064336496 33.22984078177247, -87.0599915226658 33.25276251510094, -87.01832636261346 33.25095802499533, -87.02019555596434 33.17407124672761, -86.98350493060272 33.17235834616372, -86.9821392207111 33.16368018528173, -86.96848232901122 33.16201318309678, -86.96967247501318 33.10786516629026, -86.9500186441003 33.1056068727992, -86.94951510883701 33.08738464651609, -86.93804781847187 33.08621734609552, -86.93736877112298 33.07344992975271, -86.91986651737992 33.07260303731604, -86.91904247052463 33.06439028392433, -86.90427925175858 33.06360063495124, -86.9028296193231 33.05764607144251, -86.88530441639057 33.057703211298, -86.88276306562804 32.83677333282988, -87.01394648649142 32.83287875694926, -87.31045498762346 32.83213526537529, -87.31259128260164 32.8736191112896, -87.41958081834017 32.87653381376433, -87.41985563876936 33.01177307648309))"
Alabama,Blount,1009,57826.0,33.98324660367452,-86.56704692990787,POINT (-86.56704692990787 33.98324660367452),"POLYGON ((-86.96799449037186 33.86045466926403, -86.92666527951526 33.87227583302253, -86.91910458356791 33.8834793890229, -86.92623100625269 33.9022819759598, -86.91467248897412 33.9170331761887, -86.88912107899588 33.91964207941864, -86.87925629478663 33.93306196763812, -86.85318601554943 33.93428614889399, -86.84110101381809 33.94765257534478, -86.82688696967408 33.94232333839606, -86.82147018389871 33.95493073206105, -86.77802742003723 33.96164779922621, -86.76041886440527 33.98988379813601, -86.73798025554855 33.99753577280084, -86.71653353863489 34.0393138138551, -86.69867249011472 34.04252177899706, -86.69562838114949 34.06563860633804, -86.67961362859474 34.06342983750868, -86.69803188136308 34.09116250837133, -86.69229442858361 34.09647630771629, -86.67817181856921 34.08795045071025, -86.64709618123783 34.10310204435994, -86.64823307268725 34.11768166961023, -86.63562122387486 34.11327951775122, -86.62611471640233 34.13032330574529, -86.60976422186802 34.12218654887943, -86.59896826004992 34.1287400706921, -86.58917190897675 34.153046992231, -86.54602618947739 34.19242163667975, -86.55543369943057 34.20811903768892, -86.52098577454413 34.23679360959656, -86.52268727821935 34.25047676594444, -86.51230321031879 34.26021167742685, -86.44867914681492 34.26583412523876, -86.30289035409366 34.10503847935399, -86.3327605114274 34.05310586229387, -86.33890208751849 33.97004171134382, -86.37106084370636 33.92816058025109, -86.33942054234515 33.91638085972414, -86.34754610953848 33.9070540604644, -86.34759931228699 33.87839829342307, -86.42562733354343 33.82227327905962, -86.51011024172146 33.81130242680439, -86.53272431085973 33.798237344451, -86.58479648800208 33.79546815952304, -86.58487999611366 33.76362716931305, -86.65723930855097 33.76452400084374, -86.6590858635366 33.77457569402728, -86.76393330224452 33.8421570162995, -86.88062775492661 33.8425894764207, -86.93743699704291 33.81384284509421, -86.9556411955203 33.81515530043328, -86.95696173228951 33.84247219207542, -86.96854345777776 33.84363959610407, -86.96799449037186 33.86045466926403))"
Alabama,Bullock,1011,10101.0,32.106071839996716,-85.71598000294853,POINT (-85.71598000294853 32.10607183999672),"POLYGON ((-85.41139567555057 32.15551234551676, -85.41136500755921 32.14547246365421, -85.42704391452631 32.14604070216276, -85.4262258769396 32.02372706532324, -85.45385271214968 32.02289908136096, -85.45719459073358 32.0316877920631, -85.47078294568931 32.03034881305584, -85.47068363734572 32.02167448567278, -85.51056363019914 32.02446646437809, -85.5116086212826 32.00350929563708, -85.58121304670685 32.00641151333831, -85.6634198926083 31.88146244960065, -85.79335882503234 31.88491130352598, -85.7892096322979 31.97467418301123, -85.87947521818181 31.97442158651495, -85.87817079246886 31.99126111118153, -85.89509330720661 31.99956151700795, -85.89645969055073 32.05344227677504, -85.91103978203738 32.05390752885319, -85.91227587822232 32.06261615051037, -85.96385192807901 32.07063391349764, -85.9632565442538 32.04734602921846, -85.9811250007516 32.04699490143917, -85.98282650442682 32.05753837036907, -85.99803223329772 32.05618789086505, -86.00056001140192 32.25832942850712, -85.98796360019328 32.26112938503451, -85.98828437080546 32.27847047641088, -85.93190950555982 32.27761643501677, -85.90213896739391 32.2762167416753, -85.89953778296584 32.30988035340469, -85.86895822111607 32.29020502381545, -85.87628212079917 32.26034066853412, -85.85176808671061 32.23902890114319, -85.43311068558445 32.23978332336947, -85.42959236244224 32.15981886711897, -85.41104480679147 32.16234042873843, -85.41139567555057 32.15551234551676))"
Alabama,Butler,1013,19448.0,31.758055670355432,-86.68474988110192,POINT (-86.68474988110192 31.75805567035543),"POLYGON ((-86.4491205172309 31.97123201180698, -86.45245353732406 31.8549785669126, -86.44329033522085 31.85473063277987, -86.44255761888709 31.83143684284018, -86.45127069569166 31.82939410595721, -86.4492916777772 31.66823577999236, -86.50215770001984 31.66509832014806, -86.50179553798016 31.52996530751418, -86.70278158652265 31.52878205144947, -86.84128139548339 31.53215993384077, -86.86844334124359 31.55608495600097, -86.88859412830676 31.59763899638871, -86.90756922269497 31.60949093174663, -86.91524072748267 31.75616298334025, -86.91251775175789 31.84096661032643, -86.91232809716952 31.96413345969543, -86.85983687715219 31.96701935912423, -86.4491205172309 31.97123201180698))"
Alabama,Calhoun,1015,113605.0,33.77637007747677,-85.82537579661475,POINT (-85.82537579661475 33.77637007747677),"POLYGON ((-85.79352703274839 33.56342667722454, -85.79314585862623 33.59482075398633, -85.99383491461064 33.59655458338215, -85.99456737192421 33.60477117027278, -86.01831838431593 33.6041226355031, -86.01544973563226 33.61905675579524, -86.02592528946646 33.6316601605492, -86.02581095795144 33.64667442169035, -86.04390849191162 33.66178016876513, -86.04812777551142 33.67874366049808, -86.14641257489572 33.67846148389528, -86.14243013936422 33.71975065022939, -86.11756518471253 33.71993372570476, -86.10353442326004 33.7377211606849, -86.07889844246266 33.74518627817949, -86.04182628035061 33.77137762345685, -86.0645169676632 33.80845626107383, -86.05082956338408 33.83034098114091, -86.05259214402179 33.8531412339969, -86.01815209334936 33.85620057334973, -86.01821317031184 33.86712578624622, -85.99324149933892 33.86864411083799, -85.99466072280326 33.8864280749475, -85.98462783448603 33.88794261784439, -85.98347586806113 33.9011032268465, -85.9696357972778 33.90113772833677, -85.96774375834555 33.91836479902235, -85.95124095993529 33.91604185409008, -85.95299587357518 33.92610111066338, -85.92927547737074 33.92400708778137, -85.92842848132599 33.90624218755838, -85.89784917849643 33.90893185328581, -85.8955910404175 33.94570909500136, -85.87844737423541 33.94517525437499, -85.8800420579813 33.95841978592098, -85.84648718293069 33.9532703089891, -85.84271823184568 33.96270403178624, -85.8210120284985 33.95291581394726, -85.73662879129233 33.944741758173, -85.7348283419018 33.97062046607238, -85.62546535229257 33.96291487422673, -85.6236799778775 33.95420599354937, -85.52018421016651 33.95160449829706, -85.52067246323817 33.94206789267761, -85.5276380343805 33.89225628840404, -85.59919614554393 33.88968504671077, -85.60108056928239 33.87428147821327, -85.63368193918319 33.87537614937055, -85.63213294660007 33.85075254973859, -85.585172688461 33.84916967731368, -85.58609562922756 33.80870005088341, -85.6027281967566 33.80790268310844, -85.60288065604465 33.79379991404114, -85.61897912392712 33.79251812669342, -85.62124503261198 33.78031117825325, -85.63674842749346 33.7799181928101, -85.63881478701842 33.64846290434777, -85.65378403044929 33.64714677092191, -85.65508855977032 33.63171289706135, -85.69092483291359 33.63244882524555, -85.690466885205 33.61923506529898, -85.7219314154604 33.61890673129705, -85.72148874994345 33.60523906435695, -85.74297375004224 33.60594075007108, -85.74452973617069 33.561836396822, -85.79352703274839 33.56342667722454))"
Alabama,Chambers,1017,33254.0,32.920153814950424,-85.38997074588526,POINT (-85.38997074588526 32.92015381495042),"POLYGON ((-85.58962861291295 32.73134672496109, -85.59478083545891 33.11425198270403, -85.23350288351111 33.12013940817765, -85.18071974773156 32.87181301525877, -85.16230133955111 32.80744577100517, -85.12808979649661 32.77707036887482, -85.13330071301927 32.75631518408358, -85.12488514681317 32.74438321148472, -85.27246527141403 32.74415744948087, -85.2734418293614 32.73598660555706, -85.40068120148649 32.73426562356302, -85.40985207058753 32.74689948909216, -85.42790375797283 32.74618226216619, -85.42910157097263 32.73346064059425, -85.48073128981417 32.7375801496141, -85.58962861291295 32.73134672496109))"
Alabama,Cherokee,1019,26196.0,34.17572532135708,-85.60035438677211,POINT (-85.60035438677211 34.17572532135708),"POLYGON ((-85.41656722100325 34.08692037919014, -85.39573780102349 33.95982927022591, -85.48618666959892 33.95543447454051, -85.49091694824369 33.93876445269096, -85.52067246323817 33.94206789267761, -85.52018421016651 33.95160449829706, -85.6236799778775 33.95420599354937, -85.62546535229257 33.96291487422673, -85.7348283419018 33.97062046607238, -85.73610272127188 34.00159177006834, -85.79005186237102 34.10295300413848, -85.79401171134133 34.13628113290851, -85.80708886403592 34.14170164857471, -85.82219538817129 34.12762944389067, -85.84179575731548 34.12415422170926, -85.84342882785461 34.20743480993607, -85.84217009330443 34.24605011077479, -85.8127121925165 34.24557335819987, -85.8078599671629 34.2658822511914, -85.77570121097503 34.26349434399367, -85.66693417503544 34.34817788921644, -85.66149444007061 34.36800609252605, -85.6357063374362 34.37124457024724, -85.62063032588004 34.38302014645105, -85.58403906066606 34.43453972990475, -85.58040754569768 34.46215345869286, -85.56461430721556 34.47662590138556, -85.55893041981288 34.50053564135412, -85.5490196336166 34.50883615078863, -85.53286760035735 34.49737704546174, -85.5315173280695 34.51278802193687, -85.51185593376687 34.52301486457775, -85.46028594498279 34.29016150937324, -85.41656722100325 34.08692037919014))"
